,artist,title,albumart,time
0,Bolier/Redondo/Dana Sipos,Untangled,http://www.siriusxm.com/albumart/Live/0400/bolierredond_59009FC8_m.jpg,1493352723.3619034
1,Born Dirty/Jaw/Cassius,High,http://www.siriusxm.com/albumart/Live/0400/borndirtyjaw_59009FCF_m.jpg,1493352796.932986
2,Dehasse,Dorian Gray,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493353440.6928813
3,Frankie Corsano,Stars,http://www.siriusxm.com/albumart/Live/0430/frankiecorsa_59000438_m.jpg,1493353952.6564279
4,B. Infinite/Chris Cowley,Signin' In For Love-Zinner & Orffee,http://www.siriusxm.com/albumart/Live/0430/binfinitechr_5900058E_m.jpg,1493354215.3338199
5,jackLNDN,Never Get Enough,http://www.siriusxm.com/albumart/Live/0430/jacklndn_59000672_m.jpg,1493354396.1711705
6,Jef Miles/Tillymint,Black Rose,http://www.siriusxm.com/albumart/Live/0430/jefmilestill_5900A018_m.jpg,1493354477.9208448
7,Monstaz,Cartoon Dreamland,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493355209.8663552
8,Chace/Yade Lauren,Something About You,http://www.siriusxm.com/albumart/Live/0430/chaceyadelau_59009FD5_m.jpg,1493355388.3690462
9,Shakecraft/Elektra,Patchy,http://www.siriusxm.com/albumart/Live/0430/shakecraftel_5900A041_m.jpg,1493355568.28599
10,Speaker Of The House/Lincoln Jesser,Tiny Universe,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493355808.315944
11,Martin Garrix/Dua Lipa,Scared To Be Lonely-Brooks Remix,http://www.siriusxm.com/albumart/Live/0500/martingarrix_58B9C94C_m.jpg,1493356048.303861
12,Galantis,Rich Boy-Zack Martino Remix,http://www.siriusxm.com/albumart/Live/0500/galantis_58E44EE2_m.jpg,1493356228.2547991
13,Major Lazer/PartyNextDoor/Nicki Min,Run Up,http://www.siriusxm.com/albumart/Live/0500/majorlazerpa_589083D0_m.jpg,1493356408.2419364
14,deadmau5,Some Chords,http://www.siriusxm.com/albumart/Live/0500/deadmau5_52023F9B_m.jpg,1493356588.2590535
15,k?d,Lose Myself,http://www.siriusxm.com/albumart/Live/0500/kd_58CCD161_m.jpg,1493356828.2632494
16,Bonnie x Clyde,Bass Jam,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493357068.2646024
17,Kungs/Ephemerals,I Feel So Bad,http://www.siriusxm.com/albumart/Live/0500/kungsephemer_58E2DF4C_m.jpg,1493357248.2525175
18,Deorro,Rise And Shine (Radio Edit),http://www.siriusxm.com/albumart/Live/0530/deorro_58CA6A6D_m.jpg,1493357548.260935
19,Swedish House Mafia/John Martin,Don't You Worry Child,http://www.siriusxm.com/albumart/Live/0530/swedishhouse_5501D27F_m.jpg,1493357608.2410562
20,Martin Jensen,Solo Dance,http://www.siriusxm.com/albumart/Live/0530/martinjensen_5840CB4D_m.jpg,1493357848.2553828
21,Alesso,Take My Breath Away,http://www.siriusxm.com/albumart/Live/0530/alesso_58614DDA_m.jpg,1493358028.231217
22,Mako/Madison Beer,I Won't Let You Walk Away,http://www.siriusxm.com/albumart/Live/0530/makomadisonb_58C730CF_m.jpg,1493358148.2574482
23,Morgan Page feat. Lissie,Don't Give Up,http://www.siriusxm.com/albumart/Live/Default/DefaultMDS_m_51.jpg,1493358388.2988904
24,Sunnery James/Ryan Marciano/Clara M,The One That Got Away,http://www.siriusxm.com/albumart/Live/0530/sunneryjames_5875A509_m.jpg,1493358568.29596
